dataset,architecture,method,risk_bin,n_member,memscore_mean,memscore_min,memscore_max,member_confidence,nonmember_confidence,confidence_gap,member_entropy,nonmember_entropy,entropy_gap,member_margin,nonmember_margin,margin_gap,member_loss,nonmember_loss,loss_gap,member_correct,nonmember_correct,correct_gap,member_teacher_kl,nonmember_teacher_kl,teacher_kl_gap
cinic,densenet121,base,1,8100,0.44743947619626895,0.0,0.5048440098762512,0.9811083313969918,0.8788437092576414,0.10226462213935039,0.06011354405092683,0.3297437761656025,-0.2696302321146757,0.9661557957971537,0.793253505553561,0.17290229024359272,0.03659370183633687,1.4377071919998883,-1.4011134901635514,0.9897530864197531,0.6725589225589226,0.31719416386083055,1.6527943626539725,2.3685340829101675,-0.715739720256195
cinic,densenet121,base,2,8100,0.5502372656118723,0.5048474669456482,0.6070038080215454,0.9742310623769407,0.8788437092576414,0.09538735311929925,0.08214973262957209,0.3297437761656025,-0.24759404353603043,0.9541196129425072,0.793253505553561,0.16086610738894624,0.057456038001195024,1.4377071919998883,-1.3802511539986932,0.9832098765432099,0.6725589225589226,0.3106509539842873,2.024560501162009,2.3685340829101675,-0.3439735817481586
cinic,densenet121,base,3,8100,0.6548866406046314,0.6070201992988586,0.7133652567863464,0.9648653102767321,0.8788437092576414,0.08602160101909062,0.11123733900766714,0.3297437761656025,-0.21850643715793538,0.9373653645666293,0.793253505553561,0.14411185901306833,0.06858045710276667,1.4377071919998883,-1.3691267348971217,0.9782716049382716,0.6725589225589226,0.305712682379349,2.4373592711499903,2.3685340829101675,0.06882518823982275
cinic,densenet121,base,4,8100,0.7734004903501934,0.7133669853210449,0.8419428467750549,0.9470508875155155,0.8788437092576414,0.06820717825787403,0.1627773063998335,0.3297437761656025,-0.166966469765769,0.9068388579289118,0.793253505553561,0.11358535237535083,0.11860829128494518,1.4377071919998883,-1.3190989007149432,0.9628395061728395,0.6725589225589226,0.29028058361391695,2.8374254377197796,2.3685340829101675,0.4688913548096121
cinic,densenet121,base,5,8100,0.9186788088083268,0.8419570922851562,1.0,0.921558988004187,0.8788437092576414,0.04271527874654557,0.23671781605503872,0.3297437761656025,-0.0930259601105638,0.8635788803832767,0.793253505553561,0.07032537482971568,0.17882036713861924,1.4377071919998883,-1.258886824861269,0.9375308641975308,0.6725589225589226,0.26497194163860827,3.1415663899393915,2.3685340829101675,0.773032307029224
cinic,densenet121,swmr,1,8100,0.44743947619626895,0.0,0.5048440098762512,0.8236384818362601,0.7332223963500424,0.09041608548621771,0.5802000193814905,0.8360299277061413,-0.2558299083246508,0.7281936441049164,0.5976712809593389,0.13052236314557752,0.6254999038884678,1.3177872195248872,-0.6922873156364194,0.7971604938271605,0.5792508417508417,0.21790965207631874,4.061293685373701,3.243855676223659,0.8174380091500422
cinic,densenet121,swmr,2,8100,0.5502372656118723,0.5048474669456482,0.6070038080215454,0.7779261265088011,0.7332223963500424,0.044703730158758725,0.7130847418781644,0.8360299277061413,-0.12294518582797687,0.6604834662561799,0.5976712809593389,0.06281218529684107,0.8006951861117251,1.3177872195248872,-0.5170920334131621,0.7366666666666667,0.5792508417508417,0.15741582491582495,3.941780765078686,3.243855676223659,0.697925088855027
cinic,densenet121,swmr,3,8100,0.6548866406046314,0.6070201992988586,0.7133652567863464,0.7507800823689242,0.7332223963500424,0.017557686018881857,0.794555184235825,0.8360299277061413,-0.04147474347031621,0.6220345072264288,0.5976712809593389,0.024363226267089977,0.9079877349301629,1.3177872195248872,-0.40979948459472426,0.6906172839506173,0.5792508417508417,0.11136644219977554,3.6015741809310367,3.243855676223659,0.35771850470737787
cinic,densenet121,swmr,4,8100,0.7734004903501934,0.7133669853210449,0.8419428467750549,0.7500626495314969,0.7332223963500424,0.016840253181454545,0.8065862331707835,0.8360299277061413,-0.02944369453535778,0.623485805855857,0.5976712809593389,0.025814524896518143,0.8050386323206864,1.3177872195248872,-0.5127485872042008,0.7307407407407407,0.5792508417508417,0.15148989898989895,2.9281732754519694,3.243855676223659,-0.3156824007716894
cinic,densenet121,swmr,5,8100,0.9186788088083268,0.8419570922851562,1.0,0.7048343376208235,0.7332223963500424,-0.0283880587292189,0.9271678181228309,0.8360299277061413,0.09113789041668963,0.5613072904705265,0.5976712809593389,-0.03636399048881234,1.3000755670138533,1.3177872195248872,-0.017711652511033904,0.5890123456790124,0.5792508417508417,0.009761503928170656,2.899872761225259,3.243855676223659,-0.3439829149983997
cinic,densenet121,radd,1,8100,0.44743947619626895,0.0,0.5048440098762512,0.943627068757275,0.8228940469893291,0.12073302176794587,0.17599460389605795,0.5016541651348048,-0.32565956123874684,0.9066329165888422,0.713937829296898,0.19269508729194418,0.1406352937482736,1.165285626515407,-1.0246503327671335,0.9543209876543209,0.6626262626262627,0.29169472502805827,0.6706928499627364,1.312524357570701,-0.6418315076079647
cinic,densenet121,radd,2,8100,0.5502372656118723,0.5048474669456482,0.6070038080215454,0.9247777790842969,0.8228940469893291,0.10188373209496782,0.23723575237512273,0.5016541651348048,-0.26441841275968203,0.8762387058488381,0.713937829296898,0.16230087655194014,0.2055423757677762,1.165285626515407,-0.9597432507476308,0.9387654320987654,0.6626262626262627,0.2761391694725027,0.8304422365538316,1.312524357570701,-0.4820821210168694
cinic,densenet121,radd,3,8100,0.6548866406046314,0.6070201992988586,0.7133652567863464,0.8633896981234904,0.8228940469893291,0.040495651134161315,0.4020008847983667,0.5016541651348048,-0.09965328033643805,0.7744599992754283,0.713937829296898,0.06052216997853033,0.5168024337751234,1.165285626515407,-0.6484831927402837,0.8323456790123457,0.6626262626262627,0.169719416386083,1.2780826324751071,1.312524357570701,-0.034441725095593956
cinic,densenet121,radd,4,8100,0.7734004903501934,0.7133669853210449,0.8419428467750549,0.7649204853453018,0.8228940469893291,-0.05797356164402734,0.6587369902609328,0.5016541651348048,0.15708282512612803,0.6202299491987552,0.713937829296898,-0.09370788009814279,1.2553732012114698,1.165285626515407,0.09008757469606277,0.6009876543209877,0.6626262626262627,-0.06163860830527501,2.046142901133424,1.312524357570701,0.7336185435627229
cinic,densenet121,radd,5,8100,0.9186788088083268,0.8419570922851562,1.0,0.7025454650193821,0.8228940469893291,-0.12034858196994702,0.8243306332450349,0.5016541651348048,0.3226764681102301,0.5334471548780982,0.713937829296898,-0.18049067441879973,2.4177402001632937,1.165285626515407,1.2524545736478867,0.31864197530864197,0.6626262626262627,-0.3439842873176207,2.731877627229709,1.312524357570701,1.4193532696590079
