combo,method,width,stride,direction,accuracy,path
cifar10_resnet18,rsw,1500,50,h2l,76.847,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,rsw,1500,50,l2h,75.459,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,rsw,1500,100,h2l,77.647,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w1500_s100.txt
cifar10_resnet18,rsw,1500,100,l2h,78.282,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,rsw,1000,50,h2l,77.224,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w1000_s50.txt
cifar10_resnet18,rsw,1000,50,l2h,76.118,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,rsw,1000,100,h2l,78.588,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,rsw,1000,100,l2h,77.153,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,rsw,500,50,h2l,75.765,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,rsw,500,50,l2h,74.047,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar10_resnet18,rsw,500,100,h2l,76.635,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,rsw,500,100,l2h,76.753,log/wemem_fig5_reproduce\cifar10_resnet18\rsw_l2h_w500_s100.txt
cifar10_resnet18,swmr,1500,50,h2l,77.176,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w1500_s50.txt
cifar10_resnet18,swmr,1500,50,l2h,75.976,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w1500_s50.txt
cifar10_resnet18,swmr,1500,100,h2l,77.059,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w1500_s100.txt
cifar10_resnet18,swmr,1500,100,l2h,76.824,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w1500_s100.txt
cifar10_resnet18,swmr,1000,50,h2l,74.471,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w1000_s50.txt
cifar10_resnet18,swmr,1000,50,l2h,74.824,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w1000_s50.txt
cifar10_resnet18,swmr,1000,100,h2l,75.247,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w1000_s100.txt
cifar10_resnet18,swmr,1000,100,l2h,77.012,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w1000_s100.txt
cifar10_resnet18,swmr,500,50,h2l,73.6,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w500_s50.txt
cifar10_resnet18,swmr,500,50,l2h,71.882,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w500_s50.txt
cifar10_resnet18,swmr,500,100,h2l,76.706,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_h2l_w500_s100.txt
cifar10_resnet18,swmr,500,100,l2h,75.529,log/wemem_fig5_reproduce\cifar10_resnet18\swmr_l2h_w500_s100.txt
cifar100_densenet121,rsw,150,5,h2l,51.2,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w150_s5.txt
cifar100_densenet121,rsw,150,5,l2h,52.235,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w150_s5.txt
cifar100_densenet121,rsw,150,10,h2l,52.306,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w150_s10.txt
cifar100_densenet121,rsw,150,10,l2h,49.224,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w150_s10.txt
cifar100_densenet121,rsw,100,5,h2l,49.318,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w100_s5.txt
cifar100_densenet121,rsw,100,5,l2h,51.129,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w100_s5.txt
cifar100_densenet121,rsw,100,10,h2l,49.435,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w100_s10.txt
cifar100_densenet121,rsw,100,10,l2h,52.753,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w100_s10.txt
cifar100_densenet121,rsw,50,5,h2l,44.518,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w50_s5.txt
cifar100_densenet121,rsw,50,5,l2h,49.2,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w50_s5.txt
cifar100_densenet121,rsw,50,10,h2l,49.2,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_h2l_w50_s10.txt
cifar100_densenet121,rsw,50,10,l2h,49.459,log/wemem_fig5_reproduce\cifar100_densenet121\rsw_l2h_w50_s10.txt
cifar100_densenet121,swmr,150,5,h2l,49.506,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w150_s5.txt
cifar100_densenet121,swmr,150,5,l2h,51.529,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w150_s5.txt
cifar100_densenet121,swmr,150,10,h2l,52.141,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w150_s10.txt
cifar100_densenet121,swmr,150,10,l2h,50.918,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w150_s10.txt
cifar100_densenet121,swmr,100,5,h2l,46.588,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w100_s5.txt
cifar100_densenet121,swmr,100,5,l2h,49.247,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w100_s5.txt
cifar100_densenet121,swmr,100,10,h2l,51.412,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w100_s10.txt
cifar100_densenet121,swmr,100,10,l2h,51.553,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w100_s10.txt
cifar100_densenet121,swmr,50,5,h2l,44.141,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w50_s5.txt
cifar100_densenet121,swmr,50,5,l2h,48.376,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w50_s5.txt
cifar100_densenet121,swmr,50,10,h2l,47.224,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_h2l_w50_s10.txt
cifar100_densenet121,swmr,50,10,l2h,49.694,log/wemem_fig5_reproduce\cifar100_densenet121\swmr_l2h_w50_s10.txt
cinic_vgg16bn,rsw,2700,100,h2l,67.154,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w2700_s100.txt
cinic_vgg16bn,rsw,2700,100,l2h,66.836,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w2700_s100.txt
cinic_vgg16bn,rsw,2700,200,h2l,66.795,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w2700_s200.txt
cinic_vgg16bn,rsw,2700,200,l2h,67.579,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w2700_s200.txt
cinic_vgg16bn,rsw,1800,100,h2l,67.342,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w1800_s100.txt
cinic_vgg16bn,rsw,1800,100,l2h,65.618,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w1800_s100.txt
cinic_vgg16bn,rsw,1800,200,h2l,67.244,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w1800_s200.txt
cinic_vgg16bn,rsw,1800,200,l2h,66.787,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w1800_s200.txt
cinic_vgg16bn,rsw,900,100,h2l,66.174,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w900_s100.txt
cinic_vgg16bn,rsw,900,100,l2h,62.979,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w900_s100.txt
cinic_vgg16bn,rsw,900,200,h2l,66.55,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_h2l_w900_s200.txt
cinic_vgg16bn,rsw,900,200,l2h,66.729,log/wemem_fig5_reproduce\cinic_vgg16bn\rsw_l2h_w900_s200.txt
cinic_vgg16bn,swmr,2700,100,h2l,66.443,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w2700_s100.txt
cinic_vgg16bn,swmr,2700,100,l2h,66.419,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w2700_s100.txt
cinic_vgg16bn,swmr,2700,200,h2l,66.157,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w2700_s200.txt
cinic_vgg16bn,swmr,2700,200,l2h,66.043,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w2700_s200.txt
cinic_vgg16bn,swmr,1800,100,h2l,64.286,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w1800_s100.txt
cinic_vgg16bn,swmr,1800,100,l2h,64.883,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w1800_s100.txt
cinic_vgg16bn,swmr,1800,200,h2l,65.455,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w1800_s200.txt
cinic_vgg16bn,swmr,1800,200,l2h,64.376,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w1800_s200.txt
cinic_vgg16bn,swmr,900,100,h2l,63.6,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w900_s100.txt
cinic_vgg16bn,swmr,900,100,l2h,63.682,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w900_s100.txt
cinic_vgg16bn,swmr,900,200,h2l,64.066,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_h2l_w900_s200.txt
cinic_vgg16bn,swmr,900,200,l2h,64.45,log/wemem_fig5_reproduce\cinic_vgg16bn\swmr_l2h_w900_s200.txt
cifar10_resnet18,base,,,base,76.541,log/wemem_fig5_reproduce\cifar10_resnet18\base.txt
cifar100_densenet121,base,,,base,49.388,log/wemem_fig5_reproduce\cifar100_densenet121\base.txt
cinic_vgg16bn,base,,,base,67.195,log/wemem_fig5_reproduce\cinic_vgg16bn\base.txt
